# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
220.00 73.8603 0.0641151 -12.1976 -10.8839 -11.305 -11.5988 -11.8281 -11.6424 -11.8414 -12.0506 -12.149 -11.6647 -11.9001 -12.0668 -12.15 2136.09
221.00 73.9736 0.110478 -12.2852 -10.7861 -11.3706 -11.7208 -11.9442 -11.6891 -11.9585 -12.1555 -12.2513 -11.7053 -11.9936 -12.1663 -12.2521 2136.06
222.00 74.1038 0.107785 -12.389 -10.8091 -11.4823 -11.879 -12.083 -11.7285 -12.102 -12.2929 -12.3636 -11.778 -12.1122 -12.2907 -12.3658 2136.07
223.00 74.2306 0.0838799 -12.4828 -10.9085 -11.6275 -12.0188 -12.2015 -11.8642 -12.2396 -12.4036 -12.4593 -11.8771 -12.2294 -12.3978 -12.4635 2136.36
224.00 74.3337 0.0269545 -12.5484 -11.0149 -11.7462 -12.1329 -12.2884 -11.9947 -12.349 -12.4824 -12.5253 -11.9772 -12.321 -12.4716 -12.5329 2136.2
225.00 74.3711 -0.0130859 -12.5523 -11.1225 -11.8336 -12.1616 -12.3057 -12.0673 -12.3987 -12.4915 -12.5293 -12.0224 -12.3667 -12.4822 -12.5375 2136.89
226.00 74.3413 -0.084922 -12.4938 -11.2296 -11.8324 -12.1333 -12.2521 -12.0799 -12.3622 -12.4448 -12.4665 -12.0203 -12.3351 -12.4388 -12.4766 2137.63
227.00 74.2369 -0.151441 -12.3648 -11.2841 -11.7771 -12.0154 -12.1213 -11.9799 -12.2465 -12.3198 -12.3329 -11.926 -12.2294 -12.3225 -12.3491 2138.52
228.00 74.1008 -0.155863 -12.2047 -11.2973 -11.6807 -11.8803 -11.9642 -11.8644 -12.0814 -12.1586 -12.1664 -11.8012 -12.0718 -12.171 -12.1931 2138.83
229.00 73.9919 -0.115378 -12.0682 -11.2874 -11.6131 -11.7454 -11.8331 -11.8202 -11.9392 -12.0028 -12.0216 -11.7167 -11.936 -12.0307 -12.0583 2138.85
230.00 73.9421 -0.0514403 -11.9841 -11.3027 -11.5728 -11.6712 -11.7407 -11.7678 -11.8423 -11.9049 -11.9356 -11.6783 -11.8446 -11.9374 -11.9713 2138.98
231.00 73.9425 -0.00922045 -11.949 -11.277 -11.5501 -11.6248 -11.6889 -11.7526 -11.7923 -11.8595 -11.8945 -11.6741 -11.8063 -11.8895 -11.9302 2138.68
232.00 73.9759 0.00144748 -11.9488 -11.2846 -11.5223 -11.6043 -11.672 -11.7746 -11.7687 -11.8444 -11.8994 -11.7002 -11.792 -11.8761 -11.9271 2138.54
233.00 74.0235 0.01965 -11.9676 -11.2673 -11.5044 -11.5822 -11.6865 -11.7646 -11.7646 -11.8548 -11.9294 -11.7026 -11.7995 -11.8871 -11.9481 2138.34
234.00 74.0739 0.0450263 -11.9929 -11.1967 -11.437 -11.5805 -11.716 -11.6967 -11.7731 -11.8918 -11.9725 -11.6931 -11.8063 -11.911 -11.9795 2138.31
235.00 74.1451 0.0653317 -12.0377 -11.0987 -11.4075 -11.5857 -11.7595 -11.6728 -11.7976 -11.9468 -12.0341 -11.6887 -11.8319 -11.9616 -12.0321 2138.62
236.00 74.2487 0.0673316 -12.1072 -11.0382 -11.3889 -11.6411 -11.8425 -11.6713 -11.8575 -12.0365 -12.1186 -11.6944 -11.8942 -12.0433 -12.1107 2138.95
237.00 74.3602 0.0920897 -12.1809 -10.9633 -11.3876 -11.7237 -11.935 -11.6882 -11.9487 -12.128 -12.2026 -11.7174 -11.9711 -12.1285 -12.195 2139.03
238.00 74.5002 0.0967944 -12.2806 -10.9059 -11.4842 -11.8487 -12.0411 -11.7693 -12.0724 -12.2415 -12.3 -11.7891 -12.0814 -12.239 -12.2975 2139
239.00 74.6376 0.0941094 -12.3831 -10.9245 -11.5993 -11.9855 -12.1448 -11.8787 -12.2106 -12.3551 -12.3923 -11.8749 -12.2043 -12.3475 -12.3982 2139.22
240.00 74.736 0.0687415 -12.4546 -11.0101 -11.7207 -12.0896 -12.2279 -11.9826 -12.3229 -12.4244 -12.4506 -11.9545 -12.3035 -12.4185 -12.4641 2139.47
241.00 74.811 0.0203601 -12.5043 -11.0886 -11.8122 -12.1626 -12.2793 -12.0951 -12.3943 -12.4707 -12.4888 -12.0477 -12.3709 -12.4663 -12.5061 2139.54
242.00 74.8389 -0.0360263 -12.5035 -11.1912 -11.8649 -12.1789 -12.2839 -12.1311 -12.412 -12.4689 -12.4772 -12.0725 -12.3881 -12.4689 -12.4936 2139.64
243.00 74.7991 -0.0987578 -12.4302 -11.2648 -11.8246 -12.117 -12.2205 -12.1026 -12.3422 -12.3885 -12.4014 -12.034 -12.3235 -12.3931 -12.4182 2139.76
244.00 74.7112 -0.131325 -12.3061 -11.2964 -11.784 -12.0143 -12.0977 -11.9952 -12.2158 -12.2674 -12.2731 -11.9114 -12.2028 -12.2777 -12.2916 2139.91
245.00 74.6082 -0.129008 -12.1689 -11.325 -11.6956 -11.8863 -11.9569 -11.9052 -12.0768 -12.124 -12.1311 -11.8251 -12.0629 -12.1357 -12.1512 2140.22
246.00 74.5201 -0.0960617 -12.0525 -11.3067 -11.6403 -11.781 -11.8394 -11.819 -11.9565 -11.9962 -12.0087 -11.7428 -11.9444 -12.0138 -12.0284 2140.31
247.00 74.4761 -0.0544645 -11.9819 -11.3382 -11.5868 -11.6993 -11.7622 -11.7924 -11.8741 -11.9092 -11.9369 -11.7145 -11.8678 -11.9285 -11.9551 2140.54
248.00 74.4751 -0.0239218 -11.9514 -11.3131 -11.5757 -11.6503 -11.7254 -11.7741 -11.8219 -11.8723 -11.9091 -11.7074 -11.8231 -11.8898 -11.9248 2140.74
249.00 74.5018 0.00109889 -11.9426 -11.2933 -11.5372 -11.612 -11.6983 -11.7511 -11.7907 -11.8524 -11.9064 -11.695 -11.807 -11.8721 -11.9176 2141.16
250.00 74.5612 0.0242307 -11.9623 -11.2473 -11.4792 -11.6006 -11.7025 -11.7385 -11.7927 -11.8754 -11.9321 -11.7007 -11.8129 -11.8933 -11.9372 2141.38
251.00 74.6159 0.0255947 -11.9774 -11.1546 -11.4118 -11.5867 -11.7171 -11.6983 -11.7818 -11.8951 -11.9616 -11.6768 -11.8124 -11.9091 -11.9634 2141.45
252.00 74.6856 0.0337405 -12.0129 -11.064 -11.3621 -11.5958 -11.7501 -11.6728 -11.8015 -11.9433 -12.006 -11.6686 -11.8333 -11.9514 -12.0064 2141.65
253.00 74.7635 0.0654483 -12.0621 -10.9699 -11.3484 -11.6399 -11.8036 -11.6627 -11.8551 -12.0038 -12.06 -11.6709 -11.879 -12.0061 -12.0627 2141.89
254.00 74.8529 0.0824438 -12.1238 -10.8979 -11.3831 -11.7194 -11.8903 -11.6814 -11.9323 -12.0755 -12.1271 -11.6885 -11.9431 -12.0776 -12.1287 2141.77
255.00 74.969 0.0697839 -12.2124 -10.9357 -11.4792 -11.8372 -11.9857 -11.7658 -12.0473 -12.176 -12.2118 -11.7573 -12.0452 -12.1728 -12.2165 2141.88
256.00 75.0706 0.0499144 -12.2793 -10.9765 -11.5715 -11.935 -12.0741 -11.8664 -12.1437 -12.2479 -12.2715 -11.8433 -12.122 -12.2407 -12.2806 2142.01
257.00 75.1473 0.0338639 -12.3184 -11.0305 -11.624 -12.0074 -12.1161 -11.941 -12.2031 -12.2931 -12.309 -11.8959 -12.1731 -12.2832 -12.3189 2142.02
258.00 75.1849 -0.022626 -12.3224 -11.1387 -11.7176 -12.0421 -12.1343 -11.9854 -12.2454 -12.3011 -12.305 -11.9225 -12.2119 -12.2918 -12.3137 2141.91
259.00 75.1674 -0.0623472 -12.2762 -11.1853 -11.7151 -12.0029 -12.0906 -11.9939 -12.2141 -12.2549 -12.2517 -11.9221 -12.1836 -12.2504 -12.2623 2142.08
260.00 75.1056 -0.0968121 -12.1887 -11.2341 -11.6911 -11.9326 -12.0068 -11.9345 -12.1358 -12.175 -12.1584 -11.8625 -12.1098 -12.175 -12.1712 2142.09
