# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
230.00 70.6811 -0.471667 -10.2845 -8.87052 -10.698 -10.3713 -10.1895 -9.76529 -10.7294 -11.0885 -10.5996 -9.33684 -9.46019 -10.0471 -10.5347 2111.4
231.00 69.9339 -0.714501 -9.53229 -8.40599 -9.33894 -9.28359 -9.11158 -9.83444 -9.87212 -9.7058 -9.56106 -9.8142 -9.26504 -9.24915 -9.21831 2111.42
232.00 69.8265 0.353763 -9.44665 -9.28796 -9.76863 -9.26983 -8.81318 -9.95886 -9.34462 -9.13076 -9.52686 -10.5883 -9.94383 -9.42855 -9.18961 2111.88
233.00 69.9861 -0.1938 -9.591 -10.9354 -10.5486 -9.9266 -8.90094 -9.77863 -9.31964 -9.29895 -9.40833 -10.0977 -9.88936 -9.82466 -9.62512 2114.4
234.00 69.274 -0.774692 -8.86194 -10.2796 -10.201 -9.28902 -8.02461 -9.17206 -8.72186 -8.53453 -8.42995 -8.84604 -8.86702 -8.85969 -8.95736 2115.41
235.00 69.3506 0.225855 -8.94273 -11.6272 -10.9859 -9.86618 -8.87127 -9.78426 -8.80912 -8.77074 -8.6136 -9.21829 -8.84969 -8.98898 -8.81947 2117.24
236.00 68.8842 -1.23037 -8.4487 -12.4514 -10.8739 -9.87701 -9.65343 -10.4984 -8.9484 -8.66348 -8.20616 -9.48361 -8.91284 -8.78339 -8.15131 2119.45
237.00 67.3031 -0.645032 -6.88999 -7.95891 -9.50903 -9.39649 -9.44551 -8.17897 -8.36109 -8.22628 -7.98426 -8.58848 -8.00353 -7.5843 -7.0723 2119.14
238.00 68.2994 1.47723 -7.90176 -11.9723 -11.7463 -11.0023 -10.3566 -11.3768 -10.279 -9.60813 -8.86707 -11.1118 -9.79887 -8.90946 -8.13087 2118.34
239.00 68.3455 -1.00976 -7.92081 -11.4224 -11.5106 -9.42667 -7.61225 -11.2001 -10.0412 -8.84074 -7.10219 -10.5144 -9.7686 -8.99685 -7.37207 2118.27
240.00 66.9491 -2.00379 -6.52689 -9.32924 -7.97459 -5.56957 -4.75544 -8.83474 -7.30527 -5.25426 -5.44286 -9.22613 -7.50626 -6.09429 -5.83698 2117.98
241.00 65.0717 -0.945982 -4.65974 -6.25831 -4.85526 -3.3063 -2.70346 -6.03295 -4.68931 -3.54803 -4.0531 -7.25702 -5.32843 -3.89457 -4.34681 2119.1
242.00 65.0239 0.706258 -4.63366 -5.28941 -4.66659 -3.61528 -3.1824 -5.91783 -5.20002 -4.43064 -4.18215 -6.95782 -5.73369 -4.74921 -4.58994 2119.82
243.00 65.994 1.02394 -5.603 -6.34727 -6.20771 -5.3948 -5.35312 -6.98709 -6.40519 -5.68771 -5.48828 -7.61179 -7.20475 -6.4147 -5.91577 2119.16
244.00 66.9412 0.956899 -6.54081 -8.03621 -8.00445 -7.03755 -6.51057 -8.03094 -7.43596 -6.43342 -6.41689 -8.20795 -7.98583 -7.51434 -6.7829 2117.5
245.00 68.0475 1.50505 -7.6525 -10.4338 -8.72975 -7.04519 -7.46479 -9.38317 -8.17512 -7.28707 -7.3302 -8.85091 -8.37194 -7.84777 -7.74253 2115.72
246.00 69.5324 0.421558 -9.1121 -10.263 -8.55958 -8.37673 -10.2944 -9.73245 -8.48441 -8.25534 -9.25579 -9.05654 -8.65523 -8.67529 -9.2708 2116.22
247.00 69.6337 0.367816 -9.18902 -8.25788 -8.13278 -10.2691 -10.9274 -8.94288 -8.0133 -8.98816 -9.98671 -8.62778 -7.97459 -8.56651 -9.54986 2118.07
248.00 69.2432 -1.17005 -8.78543 -6.4183 -9.47606 -10.6059 -10.4738 -7.38381 -8.1412 -9.52839 -10.4235 -8.12151 -7.95174 -8.65291 -9.50722 2119.2
249.00 68.3751 0.684628 -7.93539 -6.84129 -9.24756 -10.2636 -10.3531 -6.67467 -8.25731 -9.80681 -9.80294 -7.03643 -7.71188 -8.71187 -9.11691 2117.34
250.00 70.1056 1.97837 -9.66788 -10.995 -13.4274 -12.8508 -11.8391 -10.6543 -12.0338 -11.5421 -10.8324 -9.28092 -10.4387 -10.8969 -10.9082 2117.61
251.00 70.755 -1.40809 -10.2771 -13.9362 -13.6293 -13.022 -12.6319 -14.1439 -12.8239 -11.6047 -11.7162 -12.0983 -11.5205 -11.1813 -11.5954 2117.49
252.00 68.0962 -3.15426 -7.61427 -10.6189 -10.9058 -10.7882 -10.0867 -10.5491 -10.7839 -10.1925 -8.59624 -9.92137 -10.0851 -9.32247 -8.25387 2116.55
253.00 65.4159 -1.65071 -4.97408 -8.03934 -8.06122 -7.19251 -6.32458 -7.71218 -7.92825 -7.13756 -5.35654 -7.83237 -8.08356 -6.96252 -5.30356 2114.56
254.00 64.4848 -0.316471 -4.06856 -4.95593 -4.64215 -4.02428 -3.9166 -6.15624 -6.27112 -4.97164 -3.64399 -7.07058 -7.01512 -5.72966 -4.01783 2113.25
255.00 64.8946 0.811673 -4.48289 -3.58916 -2.68723 -2.34332 -3.77316 -5.54893 -4.99007 -4.0932 -3.78256 -6.85671 -6.47071 -5.57686 -4.21504 2113.34
256.00 65.5397 0.652088 -5.11798 -3.00892 -1.79041 -2.75025 -4.20666 -4.70796 -3.96463 -4.27899 -4.68213 -6.51991 -5.90045 -5.84336 -5.01033 2114.08
257.00 66.5819 1.32748 -6.15148 -2.54681 -2.80278 -4.00781 -5.02217 -4.20119 -4.38989 -5.18552 -5.80196 -6.43723 -6.50204 -6.63815 -5.97764 2115.04
